127.0.0.1 - - [26/Feb/2021:13:18:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:27 +0530] "GET /FashionProjectFrontend/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:27 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:27 +0530] "GET /FashionProjectFrontend/images/21.jpg HTTP/1.1" 200 63912
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:35 +0530] "GET /FashionProjectFrontend/login HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:35 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:35 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 90185
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:44 +0530] "POST /FashionProjectFrontend/perform_login HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:45 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:45 +0530] "GET /FashionProjectFrontend/images/18.jpg HTTP/1.1" 200 368162
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:47 +0530] "GET /FashionProjectFrontend/showCategory HTTP/1.1" 200 4556
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:47 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:47 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:54 +0530] "GET /FashionProjectFrontend/deleteCategory/1005 HTTP/1.1" 200 4262
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:54 +0530] "GET /FashionProjectFrontend/deleteCategory/images/FashionClub.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:54 +0530] "GET /FashionProjectFrontend/deleteCategory/images/43.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:18:59 +0530] "GET /FashionProjectFrontend/deleteCategory/1005 HTTP/1.1" 200 4262
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:01 +0530] "GET /FashionProjectFrontend/showCategory HTTP/1.1" 200 4262
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:01 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:01 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:07 +0530] "GET /FashionProjectFrontend/showProduct HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:07 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:07 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:13 +0530] "GET /FashionProjectFrontend/showsupplier HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:13 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:13 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:17 +0530] "GET /FashionProjectFrontend/signout HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:17 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:17 +0530] "GET /FashionProjectFrontend/images/30.jpg HTTP/1.1" 200 292858
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:20 +0530] "GET /FashionProjectFrontend/login HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:20 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:20 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 90185
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:34 +0530] "POST /FashionProjectFrontend/perform_login HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:34 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:34 +0530] "GET /FashionProjectFrontend/images/18.jpg HTTP/1.1" 200 368162
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:37 +0530] "GET /FashionProjectFrontend/productdisplay HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:37 +0530] "GET /FashionProjectFrontend/images/24.jpg HTTP/1.1" 200 19659
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:37 +0530] "GET /FashionProjectFrontend/images/26.jpg HTTP/1.1" 200 83125
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:37 +0530] "GET /FashionProjectFrontend/images/25.jpg HTTP/1.1" 200 22841
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:37 +0530] "GET /FashionProjectFrontend/images/45.jpeg HTTP/1.1" 200 33029
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:37 +0530] "GET /FashionProjectFrontend/images/27.jpg HTTP/1.1" 200 30709
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:41 +0530] "GET /FashionProjectFrontend/tshirt HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:41 +0530] "GET /FashionProjectFrontend/images/T1.jpg HTTP/1.1" 200 71250
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:41 +0530] "GET /FashionProjectFrontend/images/T3.jpg HTTP/1.1" 200 36053
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:41 +0530] "GET /FashionProjectFrontend/images/T2.jpg HTTP/1.1" 200 29862
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:41 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:19:41 +0530] "GET /FashionProjectFrontend/images/T4.jpeg HTTP/1.1" 200 52618
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:23:43 +0530] "GET /FashionProjectFrontend/tshirt HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:23:45 +0530] "GET /FashionProjectFrontend/images/T2.jpg HTTP/1.1" 200 29862
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:23:45 +0530] "GET /FashionProjectFrontend/images/T1.jpg HTTP/1.1" 200 71250
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:23:45 +0530] "GET /FashionProjectFrontend/images/T5.jpg HTTP/1.1" 200 17623
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:23:45 +0530] "GET /FashionProjectFrontend/images/T4.jpeg HTTP/1.1" 200 52618
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:23:45 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:27:43 +0530] "GET /FashionProjectFrontend/tshirt HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:27:44 +0530] "GET /FashionProjectFrontend/images/T1.jpg HTTP/1.1" 200 71250
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:27:44 +0530] "GET /FashionProjectFrontend/images/T2.jpg HTTP/1.1" 200 29862
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:27:44 +0530] "GET /FashionProjectFrontend/images/T5.jpg HTTP/1.1" 200 17623
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:27:44 +0530] "GET /FashionProjectFrontend/images/T4.jpeg HTTP/1.1" 200 52618
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:27:44 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:28:48 +0530] "GET /FashionProjectFrontend/tshirt HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:28:49 +0530] "GET /FashionProjectFrontend/images/T1.jpg HTTP/1.1" 200 71250
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:28:49 +0530] "GET /FashionProjectFrontend/images/T2.jpg HTTP/1.1" 200 29862
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:28:49 +0530] "GET /FashionProjectFrontend/images/T5.jpg HTTP/1.1" 200 17623
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:28:49 +0530] "GET /FashionProjectFrontend/images/T4.jpeg HTTP/1.1" 200 52618
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:28:49 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/productdisplay HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/images/24.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/images/25.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/images/25.jpg HTTP/1.1" 200 22841
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/images/24.jpg HTTP/1.1" 200 19659
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/images/27.jpg HTTP/1.1" 200 30709
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/images/26.jpg HTTP/1.1" 200 83125
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:04 +0530] "GET /FashionProjectFrontend/images/45.jpeg HTTP/1.1" 200 33029
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:05 +0530] "GET /FashionProjectFrontend/caprees HTTP/1.1" 200 3928
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:05 +0530] "GET /FashionProjectFrontend/images/C1.jpg HTTP/1.1" 200 30869
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:05 +0530] "GET /FashionProjectFrontend/images/C2.jpeg HTTP/1.1" 200 23145
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:05 +0530] "GET /FashionProjectFrontend/images/C3.jpg HTTP/1.1" 200 32063
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:05 +0530] "GET /FashionProjectFrontend/images/C4.jpg HTTP/1.1" 200 16994
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:29:05 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:35:42 +0530] "GET /FashionProjectFrontend/caprees HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:35:44 +0530] "GET /FashionProjectFrontend/images/C1.jpg HTTP/1.1" 200 30869
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:35:44 +0530] "GET /FashionProjectFrontend/images/C2.jpeg HTTP/1.1" 200 23145
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:35:44 +0530] "GET /FashionProjectFrontend/images/C3.jpg HTTP/1.1" 200 32063
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:35:44 +0530] "GET /FashionProjectFrontend/images/C4.jpg HTTP/1.1" 200 16994
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:35:44 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:16 +0530] "GET /FashionProjectFrontend/caprees HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:17 +0530] "GET /FashionProjectFrontend/images/C2.jpeg HTTP/1.1" 200 23145
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:17 +0530] "GET /FashionProjectFrontend/images/C1.jpg HTTP/1.1" 200 30869
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:17 +0530] "GET /FashionProjectFrontend/images/C3.jpg HTTP/1.1" 200 32063
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:17 +0530] "GET /FashionProjectFrontend/images/C4.jpg HTTP/1.1" 200 16994
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:17 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/productdisplay HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/images/25.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/images/24.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/images/25.jpg HTTP/1.1" 200 22841
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/images/24.jpg HTTP/1.1" 200 19659
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/images/27.jpg HTTP/1.1" 200 30709
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/images/26.jpg HTTP/1.1" 200 83125
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:24 +0530] "GET /FashionProjectFrontend/images/45.jpeg HTTP/1.1" 200 33029
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:26 +0530] "GET /FashionProjectFrontend/Dresses HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:26 +0530] "GET /FashionProjectFrontend/images/D2.jpg HTTP/1.1" 200 38738
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:26 +0530] "GET /FashionProjectFrontend/images/D1.jpg HTTP/1.1" 200 172015
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:26 +0530] "GET /FashionProjectFrontend/images/D3.jpg HTTP/1.1" 200 47555
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:26 +0530] "GET /FashionProjectFrontend/images/D4.jpg HTTP/1.1" 200 270901
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:36:26 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:41:44 +0530] "GET /FashionProjectFrontend/Dresses HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:41:46 +0530] "GET /FashionProjectFrontend/images/D2.jpg HTTP/1.1" 200 38738
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:41:46 +0530] "GET /FashionProjectFrontend/images/D1.jpg HTTP/1.1" 200 172015
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:41:46 +0530] "GET /FashionProjectFrontend/images/D3.jpg HTTP/1.1" 200 47555
0:0:0:0:0:0:0:1 - - [26/Feb/2021:13:41:46 +0530] "GET /FashionProjectFrontend/images/D4.jpg HTTP/1.1" 200 270901
